"participant_id","Task","condition","exp","mean_time","mean_error","invefi"
"01","Increasing","Congruent","Italian Adults",0.435678733333333,0,0.435678733333333
"01","Increasing","Incongruent","Italian Adults",0.374728133333333,0,0.374728133333333
"01","Decreasing","Incongruent","Italian Adults",0.4014294,0,0.4014294
"01","Decreasing","Congruent","Italian Adults",0.368128733333333,0,0.368128733333333
"02","Decreasing","Congruent","Italian Adults",0.514838,0,0.514838
"02","Increasing","Incongruent","Italian Adults",0.520704142857143,0.0666666666666667,0.557897295918367
"02","Increasing","Congruent","Italian Adults",0.533660266666667,0,0.533660266666667
"02","Decreasing","Incongruent","Italian Adults",0.520724428571429,0.0666666666666667,0.557919030612245
"03","Decreasing","Congruent","Italian Adults",0.613946066666667,0,0.613946066666667
"03","Increasing","Congruent","Italian Adults",0.614763933333333,0,0.614763933333333
"03","Increasing","Incongruent","Italian Adults",0.572482666666667,0,0.572482666666667
"03","Decreasing","Incongruent","Italian Adults",0.600641733333333,0,0.600641733333333
"04","Increasing","Congruent","Italian Adults",0.427466733333333,0,0.427466733333333
"04","Decreasing","Incongruent","Italian Adults",0.411349933333333,0,0.411349933333333
"04","Decreasing","Congruent","Italian Adults",0.449051466666667,0,0.449051466666667
"04","Increasing","Incongruent","Italian Adults",0.440539866666667,0,0.440539866666667
"06","Decreasing","Incongruent","Italian Adults",0.478268066666667,0,0.478268066666667
"06","Increasing","Incongruent","Italian Adults",0.467009866666667,0,0.467009866666667
"06","Increasing","Congruent","Italian Adults",0.4268202,0,0.4268202
"06","Decreasing","Congruent","Italian Adults",0.438523133333333,0,0.438523133333333
"07","Increasing","Incongruent","Italian Adults",0.515718533333333,0,0.515718533333333
"07","Decreasing","Incongruent","Italian Adults",0.432356,0,0.432356
"07","Decreasing","Congruent","Italian Adults",0.426954266666667,0,0.426954266666667
"07","Increasing","Congruent","Italian Adults",0.582832666666667,0,0.582832666666667
"08","Increasing","Incongruent","Italian Adults",0.4862452,0,0.4862452
"08","Increasing","Congruent","Italian Adults",0.522626133333333,0,0.522626133333333
"08","Decreasing","Congruent","Italian Adults",0.525703933333333,0,0.525703933333333
"08","Decreasing","Incongruent","Italian Adults",0.611436266666667,0,0.611436266666667
"10","Decreasing","Incongruent","Italian Adults",0.373983933333333,0,0.373983933333333
"10","Decreasing","Congruent","Italian Adults",0.3683494,0,0.3683494
"10","Increasing","Congruent","Italian Adults",0.346223133333333,0,0.346223133333333
"10","Increasing","Incongruent","Italian Adults",0.319273133333333,0,0.319273133333333
"101","Decreasing","Congruent","Italian Preschoolers",0.5628382,0,0.5628382
"101","Decreasing","Incongruent","Italian Preschoolers",0.790220357142857,0.0666666666666667,0.846664668367347
"101","Increasing","Congruent","Italian Preschoolers",0.5383944,0,0.5383944
"101","Increasing","Incongruent","Italian Preschoolers",0.527854,0,0.527854
"102","Decreasing","Congruent","Italian Preschoolers",1.11781092307692,0.133333333333333,1.28978183431953
"102","Decreasing","Incongruent","Italian Preschoolers",1.34004608333333,0.2,1.67505760416667
"102","Increasing","Congruent","Italian Preschoolers",1.10221064285714,0.0666666666666667,1.1809399744898
"102","Increasing","Incongruent","Italian Preschoolers",0.9154838,0,0.9154838
"1027","Decreasing","Congruent","Himba Adults 2021",1.31401314285714,0.125,1.50172930612245
"1027","Decreasing","Incongruent","Himba Adults 2021",1.0132424,0.166666666666667,1.21589088
"1028","Decreasing","Congruent","Himba Adults 2021",0.621725285714286,0.125,0.710543183673469
"1028","Decreasing","Incongruent","Himba Adults 2021",0.804465166666667,0,0.804465166666667
"1029","Decreasing","Incongruent","Himba Adults 2021",0.51999875,0.333333333333333,0.779998125
"1029","Decreasing","Congruent","Himba Adults 2021",0.5159485,0.25,0.687931333333333
"103","Decreasing","Congruent","Italian Preschoolers",1.26553155555556,0.4,2.10921925925926
"103","Decreasing","Incongruent","Italian Preschoolers",1.2887137,0.333333333333333,1.93307055
"103","Increasing","Congruent","Italian Preschoolers",1.28900673333333,0,1.28900673333333
"103","Increasing","Incongruent","Italian Preschoolers",1.44276907142857,0.0666666666666667,1.54582400510204
"1030","Decreasing","Incongruent","Himba Adults 2021",0.653752,0,0.653752
"1030","Decreasing","Congruent","Himba Adults 2021",0.55007075,0,0.55007075
"1041","Decreasing","Congruent","Himba Adults 2021",0.611832625,0,0.611832625
"1041","Decreasing","Incongruent","Himba Adults 2021",0.955647833333333,0,0.955647833333333
"1042","Decreasing","Congruent","Himba Adults 2021",0.509749625,0,0.509749625
"1042","Decreasing","Incongruent","Himba Adults 2021",0.73493,0,0.73493
"1043","Decreasing","Incongruent","Himba Adults 2021",0.7238124,0.166666666666667,0.86857488
"1043","Decreasing","Congruent","Himba Adults 2021",0.898217,0,0.898217
"1045","Decreasing","Congruent","Himba Adults 2021",0.456083333333333,0.25,0.608111111111111
"1045","Decreasing","Incongruent","Himba Adults 2021",0.50026475,0.333333333333333,0.750397125
"1046","Decreasing","Incongruent","Himba Adults 2021",0.7313396,0,0.7313396
"1046","Decreasing","Congruent","Himba Adults 2021",0.6178502,0,0.6178502
"1047","Increasing","Congruent","Himba Adults 2021",0.703004533333333,0,0.703004533333333
"1047","Increasing","Incongruent","Himba Adults 2021",0.6832066,0,0.6832066
"1048","Decreasing","Incongruent","Himba Adults 2021",0.938171,0,0.938171
"1048","Decreasing","Congruent","Himba Adults 2021",0.7886494,0,0.7886494
"1049","Increasing","Congruent","Himba Adults 2021",0.7904276,0.333333333333333,1.1856414
"1049","Increasing","Incongruent","Himba Adults 2021",0.7827418,0.333333333333333,1.1741127
"105","Decreasing","Congruent","Italian Preschoolers",1.34749013333333,0,1.34749013333333
"105","Decreasing","Incongruent","Italian Preschoolers",1.38924638461538,0.133333333333333,1.60297659763314
"105","Increasing","Congruent","Italian Preschoolers",1.45307921428571,0.0666666666666667,1.55687058673469
"105","Increasing","Incongruent","Italian Preschoolers",1.35574841666667,0.2,1.69468552083333
"106","Decreasing","Congruent","Italian Preschoolers",2.10019245454545,0.266666666666667,2.86389880165289
"106","Decreasing","Incongruent","Italian Preschoolers",1.94908227272727,0.266666666666667,2.65783946280992
"106","Increasing","Congruent","Italian Preschoolers",1.78398484615385,0.133333333333333,2.05844405325444
"106","Increasing","Incongruent","Italian Preschoolers",1.80828215384615,0.133333333333333,2.08647940828402
"1061","Increasing","Congruent","Himba Adults 2021",0.551870333333333,0,0.551870333333333
"1061","Increasing","Incongruent","Himba Adults 2021",0.858372533333333,0,0.858372533333333
"1062","Increasing","Incongruent","Himba Adults 2021",0.999145733333333,0,0.999145733333333
"1062","Increasing","Congruent","Himba Adults 2021",1.27832364285714,0.0666666666666667,1.3696324744898
"1064","Decreasing","Incongruent","Himba Adults 2021",0.647395333333333,0,0.647395333333333
"1064","Decreasing","Congruent","Himba Adults 2021",0.649612928571429,0.0666666666666667,0.696013852040816
"1065","Increasing","Congruent","Himba Adults 2021",0.5368806,0,0.5368806
"1065","Increasing","Incongruent","Himba Adults 2021",0.4891768,0,0.4891768
"1068","Increasing","Incongruent","Himba Adults 2021",0.927166666666667,0.2,1.15895833333333
"1068","Increasing","Congruent","Himba Adults 2021",0.961974,0.0666666666666667,1.03068642857143
"1069","Increasing","Congruent","Himba Adults 2021",0.919996888888889,0.4,1.53332814814815
"1069","Increasing","Incongruent","Himba Adults 2021",0.593184666666667,0.4,0.988641111111111
"1070","Decreasing","Incongruent","Himba Adults 2021",0.7006265,0.2,0.875783125
"1070","Decreasing","Congruent","Himba Adults 2021",0.904152428571429,0.0666666666666667,0.968734744897959
"1081","Increasing","Congruent","Himba Adults 2021",0.534211222222222,0.4,0.890352037037037
"1081","Increasing","Incongruent","Himba Adults 2021",0.5440779,0.333333333333333,0.81611685
"1082","Increasing","Incongruent","Himba Adults 2021",0.589957428571429,0.0666666666666667,0.632097244897959
"1082","Increasing","Congruent","Himba Adults 2021",0.682381538461538,0.133333333333333,0.787363313609467
"1083","Decreasing","Incongruent","Himba Adults 2021",1.17919669230769,0.133333333333333,1.36061156804734
"1083","Decreasing","Congruent","Himba Adults 2021",1.47958028571429,0.0666666666666667,1.58526459183673
"1085","Decreasing","Congruent","Himba Adults 2021",1.0256645,0.333333333333333,1.53849675
"1085","Decreasing","Incongruent","Himba Adults 2021",1.3145945,0.466666666666667,2.4648646875
"1086","Increasing","Incongruent","Himba Adults 2021",0.470860285714286,0.0666666666666667,0.504493163265306
"1086","Increasing","Congruent","Himba Adults 2021",0.539399466666667,0,0.539399466666667
"109","Decreasing","Congruent","Italian Preschoolers",1.059187,0.0666666666666667,1.13484321428571
"109","Decreasing","Incongruent","Italian Preschoolers",1.1983338,0,1.1983338
"109","Increasing","Congruent","Italian Preschoolers",1.03632713333333,0,1.03632713333333
"109","Increasing","Incongruent","Italian Preschoolers",0.965608285714286,0.0666666666666667,1.03458030612245
"1090","Decreasing","Incongruent","Himba Adults 2021",1.50934428571429,0.0666666666666667,1.61715459183673
"1090","Decreasing","Congruent","Himba Adults 2021",1.35368353846154,0.133333333333333,1.5619425443787
"11","Decreasing","Incongruent","Italian Adults",0.4505682,0,0.4505682
"11","Increasing","Congruent","Italian Adults",0.557453,0,0.557453
"11","Increasing","Incongruent","Italian Adults",0.5707852,0,0.5707852
"11","Decreasing","Congruent","Italian Adults",0.4594042,0,0.4594042
"110","Decreasing","Congruent","Italian Preschoolers",0.763823333333333,0,0.763823333333333
"110","Decreasing","Incongruent","Italian Preschoolers",0.886108133333333,0,0.886108133333333
"110","Increasing","Congruent","Italian Preschoolers",0.724465133333333,0,0.724465133333333
"110","Increasing","Incongruent","Italian Preschoolers",0.820468857142857,0.0666666666666667,0.879073775510204
"1101","Increasing","Incongruent","Himba Adults 2021",1.4915835,0.333333333333333,2.23737525
"1101","Increasing","Congruent","Himba Adults 2021",1.26314308333333,0.2,1.57892885416667
"1103","Increasing","Congruent","Himba Adults 2021",0.5169823,0.333333333333333,0.77547345
"1103","Increasing","Incongruent","Himba Adults 2021",0.5161791,0.333333333333333,0.77426865
"1104","Decreasing","Incongruent","Himba Adults 2021",1.46104341666667,0.2,1.82630427083333
"1104","Decreasing","Congruent","Himba Adults 2021",1.41335563636364,0.266666666666667,1.92730314049587
"1107","Decreasing","Congruent","Himba Adults 2021",1.25777021428571,0.0666666666666667,1.34761094387755
"1107","Decreasing","Incongruent","Himba Adults 2021",1.52824327272727,0.266666666666667,2.08396809917355
"1109","Increasing","Congruent","Himba Adults 2021",1.21268218181818,0.266666666666667,1.65365752066116
"1109","Increasing","Incongruent","Himba Adults 2021",1.21166735714286,0.0666666666666667,1.2982150255102
"111","Decreasing","Congruent","Italian Preschoolers",1.7164123,0.333333333333333,2.57461845
"111","Decreasing","Incongruent","Italian Preschoolers",1.7578425,0.333333333333333,2.63676375
"111","Increasing","Congruent","Italian Preschoolers",1.61817083333333,0.2,2.02271354166667
"111","Increasing","Incongruent","Italian Preschoolers",1.73681890909091,0.266666666666667,2.3683894214876
"1110","Decreasing","Congruent","Himba Adults 2021",1.48759230769231,0.133333333333333,1.71645266272189
"1110","Decreasing","Incongruent","Himba Adults 2021",1.68197166666667,0.4,2.80328611111111
"112","Decreasing","Congruent","Italian Preschoolers",1.03816142857143,0.0666666666666667,1.11231581632653
"112","Decreasing","Incongruent","Italian Preschoolers",1.35002238461538,0.133333333333333,1.55771813609467
"112","Increasing","Congruent","Italian Preschoolers",0.939667133333333,0,0.939667133333333
"112","Increasing","Incongruent","Italian Preschoolers",0.978857142857143,0.0666666666666667,1.04877551020408
"1123","Decreasing","Congruent","Himba Adults 2021",1.13245084615385,0.133333333333333,1.30667405325444
"1123","Decreasing","Incongruent","Himba Adults 2021",1.20944407142857,0.0666666666666667,1.29583293367347
"1126","Increasing","Congruent","Himba Adults 2021",0.619324333333333,0,0.619324333333333
"1126","Increasing","Incongruent","Himba Adults 2021",0.756093,0.0666666666666667,0.810099642857143
"1127","Decreasing","Incongruent","Himba Adults 2021",0.971049857142857,0.0666666666666667,1.04041056122449
"1127","Decreasing","Congruent","Himba Adults 2021",0.8844815,0.0666666666666667,0.94765875
"1128","Increasing","Incongruent","Himba Adults 2021",1.04303228571429,0.0666666666666667,1.11753459183673
"1128","Increasing","Congruent","Himba Adults 2021",1.00217915384615,0.133333333333333,1.15636056213018
"1129","Decreasing","Incongruent","Himba Adults 2021",0.839695,0,0.839695
"1129","Decreasing","Congruent","Himba Adults 2021",0.714859142857143,0.0666666666666667,0.765920510204082
"113","Increasing","Incongruent","Italian Preschoolers",0.949427846153846,0.133333333333333,1.09549366863905
"113","Decreasing","Congruent","Italian Preschoolers",0.911091454545455,0.266666666666667,1.24239743801653
"113","Decreasing","Incongruent","Italian Preschoolers",1.14852944444444,0.4,1.91421574074074
"113","Increasing","Congruent","Italian Preschoolers",0.905533214285714,0.0666666666666667,0.970214158163265
"1130","Increasing","Congruent","Himba Adults 2021",0.433508066666667,0,0.433508066666667
"1130","Increasing","Incongruent","Himba Adults 2021",0.528845266666667,0,0.528845266666667
"114","Decreasing","Congruent","Italian Preschoolers",0.886844692307692,0.133333333333333,1.02328233727811
"114","Decreasing","Incongruent","Italian Preschoolers",1.20984066666667,0.2,1.51230083333333
"114","Increasing","Congruent","Italian Preschoolers",0.9078732,0.333333333333333,1.3618098
"114","Increasing","Incongruent","Italian Preschoolers",0.8189449,0.333333333333333,1.22841735
"1141","Decreasing","Congruent","Himba Adults 2021",1.82823375,0.2,2.2852921875
"1141","Decreasing","Incongruent","Himba Adults 2021",2.16774163636364,0.266666666666667,2.95601132231405
"1142","Increasing","Congruent","Himba Adults 2021",1.16448385714286,0.0666666666666667,1.2476612755102
"1142","Increasing","Incongruent","Himba Adults 2021",1.02188669230769,0.133333333333333,1.1791000295858
"1143","Decreasing","Incongruent","Himba Adults 2021",0.545074,0,0.545074
"1143","Decreasing","Congruent","Himba Adults 2021",0.522772066666667,0,0.522772066666667
"1144","Increasing","Congruent","Himba Adults 2021",0.8468342,0,0.8468342
"1144","Increasing","Incongruent","Himba Adults 2021",0.735863785714286,0.0666666666666667,0.788425484693878
"1145","Decreasing","Incongruent","Himba Adults 2021",0.489877181818182,0.266666666666667,0.668014338842975
"1145","Decreasing","Congruent","Himba Adults 2021",0.739741666666667,0.2,0.924677083333333
"1146","Increasing","Congruent","Himba Adults 2021",0.97822,0.266666666666667,1.33393636363636
"1146","Increasing","Incongruent","Himba Adults 2021",0.7738572,0.333333333333333,1.1607858
"1147","Increasing","Congruent","Himba Adults 2021",1.22820007692308,0.133333333333333,1.41715393491124
"1147","Increasing","Incongruent","Himba Adults 2021",1.52391023076923,0.133333333333333,1.75835795857988
"1148","Decreasing","Congruent","Himba Adults 2021",1.52775471428571,0.0666666666666667,1.63688005102041
"1148","Decreasing","Incongruent","Himba Adults 2021",1.55955833333333,0.2,1.94944791666667
"1149","Decreasing","Congruent","Himba Adults 2021",1.7204299,0.333333333333333,2.58064485
"1149","Decreasing","Incongruent","Himba Adults 2021",1.44544914285714,0.533333333333333,3.09739102040816
"115","Increasing","Congruent","Italian Preschoolers",0.7409689,0.333333333333333,1.11145335
"115","Decreasing","Incongruent","Italian Preschoolers",1.4533265,0.0666666666666667,1.55713553571429
"115","Increasing","Incongruent","Italian Preschoolers",0.723869181818182,0.266666666666667,0.987094338842975
"115","Decreasing","Congruent","Italian Preschoolers",1.23765421428571,0.0666666666666667,1.32605808673469
"1150","Increasing","Congruent","Himba Adults 2021",0.378305,0.266666666666667,0.515870454545455
"1150","Increasing","Incongruent","Himba Adults 2021",0.4132811,0.333333333333333,0.61992165
"116","Increasing","Incongruent","Italian Preschoolers",1.233564,0.133333333333333,1.42334307692308
"116","Decreasing","Congruent","Italian Preschoolers",1.0898755,0.333333333333333,1.63481325
"116","Decreasing","Incongruent","Italian Preschoolers",1.154447,0.333333333333333,1.7316705
"116","Increasing","Congruent","Italian Preschoolers",1.2170365,0.0666666666666667,1.30396767857143
"1161","Decreasing","Incongruent","Himba Adults 2021",0.578880466666667,0,0.578880466666667
"1161","Decreasing","Congruent","Himba Adults 2021",0.588988,0.0666666666666667,0.631058571428571
"1162","Increasing","Incongruent","Himba Adults 2021",0.6047925,0.333333333333333,0.90718875
"1162","Increasing","Congruent","Himba Adults 2021",0.5807812,0.333333333333333,0.8711718
"1163","Decreasing","Congruent","Himba Adults 2021",0.898321733333333,0,0.898321733333333
"1163","Decreasing","Incongruent","Himba Adults 2021",0.9417278,0,0.9417278
"1164","Increasing","Incongruent","Himba Adults 2021",0.517991866666667,0,0.517991866666667
"1164","Increasing","Congruent","Himba Adults 2021",0.562015133333333,0,0.562015133333333
"1165","Increasing","Congruent","Himba Adults 2021",0.5422071,0.333333333333333,0.81331065
"1165","Increasing","Incongruent","Himba Adults 2021",0.4858091,0.333333333333333,0.72871365
"1166","Decreasing","Congruent","Himba Adults 2021",0.548419,0,0.548419
"1166","Decreasing","Incongruent","Himba Adults 2021",0.543467266666667,0,0.543467266666667
"1167","Decreasing","Incongruent","Himba Adults 2021",0.736252,0,0.736252
"1167","Decreasing","Congruent","Himba Adults 2021",0.717422933333333,0,0.717422933333333
"1168","Increasing","Incongruent","Himba Adults 2021",0.511669,0.333333333333333,0.7675035
"1168","Increasing","Congruent","Himba Adults 2021",0.546174636363636,0.266666666666667,0.744783595041322
"1169","Decreasing","Congruent","Himba Adults 2021",0.591268,0,0.591268
"1169","Decreasing","Incongruent","Himba Adults 2021",0.672539133333333,0,0.672539133333333
"117","Decreasing","Congruent","Italian Preschoolers",1.70681442857143,0.0666666666666667,1.82872974489796
"117","Decreasing","Incongruent","Italian Preschoolers",1.61903692857143,0.0666666666666667,1.73468242346939
"117","Increasing","Congruent","Italian Preschoolers",1.132905,0.133333333333333,1.30719807692308
"117","Increasing","Incongruent","Italian Preschoolers",1.59297993333333,0,1.59297993333333
"1170","Decreasing","Incongruent","Himba Adults 2021",0.744572769230769,0.133333333333333,0.859122426035503
"1170","Decreasing","Congruent","Himba Adults 2021",0.584906615384615,0.133333333333333,0.67489224852071
"118","Decreasing","Congruent","Italian Preschoolers",1.34796561538462,0.133333333333333,1.5553449408284
"118","Decreasing","Incongruent","Italian Preschoolers",1.24015192307692,0.133333333333333,1.43094452662722
"118","Increasing","Congruent","Italian Preschoolers",1.729245,0.4,2.882075
"118","Increasing","Incongruent","Italian Preschoolers",1.49046444444444,0.4,2.48410740740741
"1181","Increasing","Incongruent","Himba Adults 2021",0.725762666666667,0.4,1.20960444444444
"1181","Increasing","Congruent","Himba Adults 2021",0.801220888888889,0.4,1.33536814814815
"1182","Decreasing","Incongruent","Himba Adults 2021",0.4807695,0.0666666666666667,0.515110178571429
"1182","Decreasing","Congruent","Himba Adults 2021",0.494413733333333,0,0.494413733333333
"119","Increasing","Incongruent","Italian Preschoolers",0.782553666666667,0.2,0.978192083333333
"119","Decreasing","Congruent","Italian Preschoolers",1.31265133333333,0.4,2.18775222222222
"119","Increasing","Congruent","Italian Preschoolers",0.99398,0.133333333333333,1.1469
"119","Decreasing","Incongruent","Italian Preschoolers",1.2883788,0.333333333333333,1.9325682
"12","Increasing","Congruent","Italian Adults",0.4982918,0,0.4982918
"12","Increasing","Incongruent","Italian Adults",0.461793533333333,0,0.461793533333333
"12","Decreasing","Congruent","Italian Adults",0.501449533333333,0,0.501449533333333
"12","Decreasing","Incongruent","Italian Adults",0.5459494,0,0.5459494
"120","Decreasing","Congruent","Italian Preschoolers",1.36161161538462,0.133333333333333,1.57109032544379
"120","Decreasing","Incongruent","Italian Preschoolers",1.35721207142857,0.0666666666666667,1.45415579081633
"120","Increasing","Congruent","Italian Preschoolers",1.14150835714286,0.0666666666666667,1.22304466836735
"120","Increasing","Incongruent","Italian Preschoolers",1.1615365,0.0666666666666667,1.24450339285714
"121","Decreasing","Congruent","Italian Preschoolers",0.909966384615385,0.133333333333333,1.04996121301775
"121","Decreasing","Incongruent","Italian Preschoolers",0.712783461538462,0.133333333333333,0.822442455621302
"121","Increasing","Congruent","Italian Preschoolers",0.9396178,0,0.9396178
"121","Increasing","Incongruent","Italian Preschoolers",0.821263571428571,0.0666666666666667,0.879925255102041
"122","Increasing","Congruent","Italian Preschoolers",1.88827518181818,0.266666666666667,2.57492070247934
"122","Increasing","Incongruent","Italian Preschoolers",1.96020344444444,0.4,3.26700574074074
"122","Decreasing","Congruent","Italian Preschoolers",1.54991533333333,0,1.54991533333333
"122","Decreasing","Incongruent","Italian Preschoolers",1.65553638461538,0.133333333333333,1.91023428994083
"123","Decreasing","Congruent","Italian Preschoolers",1.38066825,0.2,1.7258353125
"123","Decreasing","Incongruent","Italian Preschoolers",1.372267,0.2,1.71533375
"123","Increasing","Congruent","Italian Preschoolers",1.02002276923077,0.133333333333333,1.17694934911243
"123","Increasing","Incongruent","Italian Preschoolers",1.10196273333333,0,1.10196273333333
"124","Decreasing","Congruent","Italian Preschoolers",1.66148008333333,0.2,2.07685010416667
"124","Decreasing","Incongruent","Italian Preschoolers",1.72259246153846,0.133333333333333,1.98760668639053
"124","Increasing","Congruent","Italian Preschoolers",1.677395,0.533333333333333,3.59441785714286
"124","Increasing","Incongruent","Italian Preschoolers",1.2865584,0.333333333333333,1.9298376
"125","Decreasing","Congruent","Italian Preschoolers",1.1320772,0.333333333333333,1.6981158
"125","Decreasing","Incongruent","Italian Preschoolers",0.9210316,0.333333333333333,1.3815474
"125","Increasing","Congruent","Italian Preschoolers",1.4514397,0.333333333333333,2.17715955
"125","Increasing","Incongruent","Italian Preschoolers",1.2833424,0.333333333333333,1.9250136
"126","Decreasing","Congruent","Italian Preschoolers",0.636982733333333,0,0.636982733333333
"126","Decreasing","Incongruent","Italian Preschoolers",0.941706866666667,0,0.941706866666667
"126","Increasing","Congruent","Italian Preschoolers",0.6443669,0.333333333333333,0.96655035
"126","Increasing","Incongruent","Italian Preschoolers",0.5961688,0.333333333333333,0.8942532
"127","Decreasing","Congruent","Italian Preschoolers",0.977289714285714,0.533333333333333,2.09419224489796
