"shape","order","Task","Stimuli","total_count","Percent","exp"
"H Line","Left to Right","Free","Dots",37,0.787234042553192,"Italian Adults"
"H Line","Right to Left","Free","Dots",1,0.0212765957446809,"Italian Adults"
"H Line","Bottom to Top","Free","Dots",0,0,"Italian Adults"
"H Line","Random","Free","Dots",0,0,"Italian Adults"
"V Line","Left to Right","Free","Dots",0,0,"Italian Adults"
"V Line","Right to Left","Free","Dots",0,0,"Italian Adults"
"V Line","Bottom to Top","Free","Dots",1,0.0212765957446809,"Italian Adults"
"V Line","Random","Free","Dots",0,0,"Italian Adults"
"Grid","Left to Right","Free","Dots",7,0.148936170212766,"Italian Adults"
"Grid","Right to Left","Free","Dots",0,0,"Italian Adults"
"Grid","Bottom to Top","Free","Dots",0,0,"Italian Adults"
"Grid","Random","Free","Dots",0,0,"Italian Adults"
"Curve","Left to Right","Free","Dots",1,0.0212765957446809,"Italian Adults"
"Curve","Right to Left","Free","Dots",0,0,"Italian Adults"
"Curve","Bottom to Top","Free","Dots",0,0,"Italian Adults"
"Curve","Random","Free","Dots",0,0,"Italian Adults"
"No-shape","Left to Right","Free","Dots",0,0,"Italian Adults"
"No-shape","Right to Left","Free","Dots",0,0,"Italian Adults"
"No-shape","Bottom to Top","Free","Dots",0,0,"Italian Adults"
"No-shape","Random","Free","Dots",0,0,"Italian Adults"
"Circle","Random","Free","Dots",2,0.0465116279069767,"Italian Preschoolers"
"Grid","Random","Free","Dots",4,0.0930232558139535,"Italian Preschoolers"
"H Line","Left to Right","Free","Dots",10,0.232558139534884,"Italian Preschoolers"
"H Line","Right to Left","Free","Dots",4,0.0930232558139535,"Italian Preschoolers"
"H Line","Random","Free","Dots",14,0.325581395348837,"Italian Preschoolers"
"Random","Random","Free","Dots",8,0.186046511627907,"Italian Preschoolers"
"V Line","Random","Free","Dots",1,0.0232558139534884,"Italian Preschoolers"
"Circle","Left to Right","Free","Dots",1,0.0123456790123457,"Himba Adults 2021"
"Circle","Right to Left","Free","Dots",0,0,"Himba Adults 2021"
"Circle","Bottom to Top","Free","Dots",0,0,"Himba Adults 2021"
"Circle","Random","Free","Dots",1,0.0123456790123457,"Himba Adults 2021"
"Curve","Left to Right","Free","Dots",0,0,"Himba Adults 2021"
"Curve","Right to Left","Free","Dots",0,0,"Himba Adults 2021"
"Curve","Bottom to Top","Free","Dots",0,0,"Himba Adults 2021"
"Curve","Random","Free","Dots",0,0,"Himba Adults 2021"
"Diagonal","Left to Right","Free","Dots",2,0.0246913580246914,"Himba Adults 2021"
"Diagonal","Right to Left","Free","Dots",1,0.0123456790123457,"Himba Adults 2021"
"Diagonal","Bottom to Top","Free","Dots",0,0,"Himba Adults 2021"
"Diagonal","Random","Free","Dots",0,0,"Himba Adults 2021"
"H Line","Left to Right","Free","Dots",21,0.259259259259259,"Himba Adults 2021"
"H Line","Right to Left","Free","Dots",15,0.185185185185185,"Himba Adults 2021"
"H Line","Bottom to Top","Free","Dots",0,0,"Himba Adults 2021"
"H Line","Random","Free","Dots",24,0.296296296296296,"Himba Adults 2021"
"L-shaped","Left to Right","Free","Dots",0,0,"Himba Adults 2021"
"L-shaped","Right to Left","Free","Dots",1,0.0123456790123457,"Himba Adults 2021"
"L-shaped","Bottom to Top","Free","Dots",0,0,"Himba Adults 2021"
"L-shaped","Random","Free","Dots",0,0,"Himba Adults 2021"
"No-shape","Left to Right","Free","Dots",4,0.0493827160493827,"Himba Adults 2021"
"No-shape","Right to Left","Free","Dots",1,0.0123456790123457,"Himba Adults 2021"
"No-shape","Bottom to Top","Free","Dots",0,0,"Himba Adults 2021"
"No-shape","Random","Free","Dots",8,0.0987654320987654,"Himba Adults 2021"
"Two groups","Left to Right","Free","Dots",1,0.0123456790123457,"Himba Adults 2021"
"Two groups","Right to Left","Free","Dots",0,0,"Himba Adults 2021"
"Two groups","Bottom to Top","Free","Dots",0,0,"Himba Adults 2021"
"Two groups","Random","Free","Dots",1,0.0123456790123457,"Himba Adults 2021"
"Circle","Left to Right","Free","Dots",0,0,"Himba Adults 2022"
"Circle","Right to Left","Free","Dots",0,0,"Himba Adults 2022"
"Circle","Top to Bottom","Free","Dots",0,0,"Himba Adults 2022"
"Circle","Bottom to Top","Free","Dots",0,0,"Himba Adults 2022"
"Circle","Random","Free","Dots",0,0,"Himba Adults 2022"
"Diagonal","Left to Right","Free","Dots",2,0.0240963855421687,"Himba Adults 2022"
"Diagonal","Right to Left","Free","Dots",0,0,"Himba Adults 2022"
"Diagonal","Top to Bottom","Free","Dots",0,0,"Himba Adults 2022"
"Diagonal","Bottom to Top","Free","Dots",0,0,"Himba Adults 2022"
"Diagonal","Random","Free","Dots",0,0,"Himba Adults 2022"
"H Line","Left to Right","Free","Dots",20,0.240963855421687,"Himba Adults 2022"
"H Line","Right to Left","Free","Dots",25,0.301204819277108,"Himba Adults 2022"
"H Line","Top to Bottom","Free","Dots",0,0,"Himba Adults 2022"
"H Line","Bottom to Top","Free","Dots",0,0,"Himba Adults 2022"
"H Line","Random","Free","Dots",25,0.301204819277108,"Himba Adults 2022"
"No-shape","Left to Right","Free","Dots",1,0.0120481927710843,"Himba Adults 2022"
"No-shape","Right to Left","Free","Dots",1,0.0120481927710843,"Himba Adults 2022"
"No-shape","Top to Bottom","Free","Dots",0,0,"Himba Adults 2022"
"No-shape","Bottom to Top","Free","Dots",0,0,"Himba Adults 2022"
"No-shape","Random","Free","Dots",4,0.0481927710843374,"Himba Adults 2022"
"Two groups","Left to Right","Free","Dots",0,0,"Himba Adults 2022"
"Two groups","Right to Left","Free","Dots",0,0,"Himba Adults 2022"
"Two groups","Top to Bottom","Free","Dots",0,0,"Himba Adults 2022"
"Two groups","Bottom to Top","Free","Dots",0,0,"Himba Adults 2022"
"Two groups","Random","Free","Dots",1,0.0120481927710843,"Himba Adults 2022"
"V Line","Left to Right","Free","Dots",0,0,"Himba Adults 2022"
"V Line","Right to Left","Free","Dots",0,0,"Himba Adults 2022"
"V Line","Top to Bottom","Free","Dots",4,0.0481927710843374,"Himba Adults 2022"
"V Line","Bottom to Top","Free","Dots",0,0,"Himba Adults 2022"
"V Line","Random","Free","Dots",0,0,"Himba Adults 2022"
